gene,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B,diffexpressed
RPS27AP16,-0.34121426484725603,-0.9225965712310553,0.24016804153654325,4.742625851939415,-1.1995449573289116,0.23987678988924077,0.6788938037828847,-5.3801734582563405,no
MAFK,-0.3414611378454313,-0.8326049474011168,0.14968267171025412,4.127618940100143,-1.420966271364707,0.16582766618660183,0.6144341910842163,-5.035025977674162,no
ZNF549,-0.34157575978170085,-1.1108710850669767,0.42771956550357504,2.8363535061015206,-0.9074968169199475,0.3715093522686105,0.7773066004549515,-5.372354697110671,no
HLA-H,-0.34172998287080647,-1.6479120648537775,0.9644520991121646,3.5968798470881795,-0.5396813289871895,0.5943397370524113,0.8741813662318985,-5.759754575979883,no
MLC1,-0.34178965213965107,-1.508652485225557,0.8250731809462548,3.0662921738872133,-0.6042228340277691,0.5513087041593128,0.8603010210654525,-5.716558699784997,no
CCDC174,-0.3418238189159357,-0.8364733138684668,0.15282567603659536,4.482792098041902,-1.4123941584054962,0.16831323199543188,0.6160326354602256,-5.124481000371489,no
TMA16,-0.3418248720933388,-0.9770827122637427,0.2934329680770651,3.276248229768267,-1.0997773903727446,0.28033692631926577,0.7093481762223321,-5.298702003302255,no
NAV2,-0.34200713395799553,-1.2444707837393643,0.5604565158233732,2.692392785159081,-0.7745627511918701,0.4447717055788354,0.8112240128871543,-5.430422622156161,no
OPLAH,-0.34215965601238696,-1.4574324273978843,0.7731131153731103,1.3213080329831162,-0.6270452207799364,0.5354602944296853,0.8555480882490972,-5.331318336477789,no
ZFP62,-0.3422314728879865,-0.923063138098067,0.23860019232209395,3.9833081774072374,-1.20426155580762,0.23807687605449607,0.6763769175646409,-5.261093223429824,no
AGRN,-0.3422724616922197,-1.1267739723367314,0.442229048952292,1.8715872980279797,-0.8917216993171965,0.37976925815626006,0.7810132218689825,-5.213097148210209,no
LINC00910,-0.34237484358533665,-1.2119207249082342,0.5271710377375609,2.049866143064939,-0.804749110407221,0.42741287033819075,0.8039507079005775,-5.2533018063316845,no
CDK4,-0.3425102272947509,-0.9323839333702476,0.24736347878074583,3.1999810920545246,-1.1867675616009339,0.2448034387084546,0.6845059808592003,-5.146481980944528,no
TMEM255B,-0.3425197584702486,-1.4458846651855226,0.7608451482450254,1.6124865366984162,-0.6344795415733397,0.5306655481538614,0.8532048210388679,-5.293838350502785,no
TMEM222,-0.3426747107512478,-1.248005435410443,0.5626560139079475,2.170456629217975,-0.7736169135821287,0.4453223685497413,0.8114091112007935,-5.375461846356203,no
FAM210A,-0.3429688882563502,-1.1014973277754243,0.4155595512627238,3.169052360259644,-0.9241320194728999,0.3629270217231557,0.7714805076510216,-5.435505981324491,no
PI4K2A,-0.34307998898900793,-0.9356819113924346,0.24952193341441875,2.7690990494022913,-1.1832690149714402,0.24616532795773913,0.6861764073235779,-5.1281369492369855,no
IFNG-AS1,-0.34338584861304455,-1.2740858192161157,0.5873141219900266,1.2625297197150531,-0.7540911673315068,0.45678117008255703,0.8168731889906574,-5.238072581823218,no
AGPAT3,-0.34346565095470183,-0.8608000945596331,0.17386879265022948,5.076687373751688,-1.3569476008517738,0.18510663996606375,0.629191605258204,-5.261821847047615,no
RASL11A,-0.3437105195888964,-1.4374083117185026,0.7499872725407098,1.122440350325104,-0.6423129079794199,0.5256383408848758,0.8502476766222001,-5.313248825681725,no
HTR7P1,-0.34377911981104736,-1.3119466959187869,0.624388456296692,1.1015532608317158,-0.7257384319702023,0.4737266290871215,0.8252599396571498,-5.234288927645358,no
GJC1,-0.34383119564116715,-1.3987598599433664,0.7110974686610322,1.581076756455762,-0.6661520139315436,0.5104981407769064,0.845536151945736,-5.275702211036891,no
KRIT1,-0.3439106872693012,-1.187572664813313,0.49975129027471055,1.99316882110819,-0.833159894310418,0.41145994604549097,0.7953846155446246,-5.308026674601815,no
PTPN23,-0.34399034443458687,-0.7666887066385575,0.0787080177693838,4.092172917055843,-1.6632856784173324,0.10686138621263144,0.5389427420334494,-4.718654010765303,no
ENSG00000215861,-0.34404635411376594,-1.2996197430511054,0.6115270348235734,1.2521599078832741,-0.7358750423905772,0.46762691237726706,0.8223515515880062,-5.336611494244316,no
ASB13,-0.3441359051721271,-1.0694160228631864,0.38114421251893216,1.8890794004039615,-0.9697848055780961,0.34005045731527606,0.7554363255595152,-5.1999378796661295,no
ENSG00000288612,-0.34413836379615725,-1.408955039917561,0.7206783123252465,1.6029358378737935,-0.6605556419065608,0.5140307402605926,0.8463678680346893,-5.376674257734387,no
RPS28P4,-0.3441809451639327,-1.5591036293971032,0.8707417390692377,2.1036646260208394,-0.5815421691585837,0.565746644648774,0.8644899425264266,-5.502746208389118,no
MIR99AHG,-0.34462723047029864,-1.0881652848276002,0.39891082388700294,2.557635973875888,-0.9473218404344874,0.351182624374866,0.7637969390385239,-5.193637060469852,no
ZC3H10,-0.34473077613693537,-1.1842835237321,0.49482197145822937,2.3826863647852705,-0.8392343101244406,0.40809790071000973,0.7949204698939486,-5.297869065919368,no
MORF4L1P1,-0.3451803251217207,-0.8133394292578767,0.12297877901443532,4.913295496766033,-1.5069669262673353,0.14247038046631133,0.5905935575900951,-5.060764679571353,no
ARNT,-0.34520137377843074,-0.7022783695599019,0.011875622003040376,6.288937767619043,-1.9758856353352483,0.057601334298717784,0.44235457938315026,-4.3967475532404645,no
EIF4EBP1,-0.3453473066211119,-0.7763097950340697,0.0856151817918459,4.184348503366911,-1.637826010295632,0.11209879268919472,0.545908298575507,-4.777386660124924,no
PVT1,-0.3454763782885497,-1.4345841650269193,0.7436314084498199,2.376399107711195,-0.6485386890352615,0.5216980748851419,0.848500011589209,-5.431352544116619,no
ESYT1,-0.34553093573940385,-0.8869199750647426,0.19585810358593492,4.354825667649289,-1.3044536071297972,0.20218028684906053,0.6429170498646368,-5.186004847855938,no
OTUB1,-0.3457607684293542,-0.7965618307221354,0.10504029386342689,4.5033592142095005,-1.5676241477201087,0.12765075640544243,0.5702735385264076,-4.922832785555006,no
TRIM41,-0.3458721882080362,-0.8602619825928353,0.1685176061767628,4.475351568492536,-1.3742775716439413,0.17972304636886,0.6225090085839657,-5.13394289676812,no
U2AF1L4,-0.34589312519144744,-1.1467475317566498,0.4549612813737549,2.2039383320708796,-0.8827536490711116,0.38451750398713835,0.7856571245532341,-5.287688519381279,no
GPRIN3,-0.3459572597215743,-0.9729207947113853,0.2810062752682366,4.796773745767947,-1.1277980174514282,0.2685086702822809,0.7007396264734431,-5.489617318083139,no
MRTFB,-0.34609902785304936,-0.8883513086960547,0.196153252989956,4.362777532921818,-1.3045182307031713,0.20215854916001227,0.6429170498646368,-5.2150468623006985,no
GALK1,-0.3461216395659834,-1.0355969118946238,0.34335363276265696,1.6980857178044684,-1.0260327376037317,0.31322917036163317,0.7342370098643507,-5.107750833040281,no
TERF2IP,-0.34616680002169176,-0.8558904847914959,0.16355688474811236,6.968522133102066,-1.3880392926011917,0.17553573435819658,0.6198817995080881,-5.264433030130567,no
FBXO30,-0.34647187087501674,-0.8050498189778239,0.11210607722779042,4.897820228866783,-1.5442086299562152,0.1332152017147564,0.5785418817765379,-5.013278290969542,no
SAYSD1,-0.3465787724136562,-1.100070528709764,0.4069129838824518,2.5949169476155536,-0.9401012165509071,0.35481204618287643,0.765754469049154,-5.275153132894026,no
ENSG00000237356,-0.34670361766540997,-1.4916696593110186,0.7982624239801988,1.6839488416074522,-0.6188949341786211,0.5407430636748088,0.8577626612105351,-5.290601327603677,no
FDPS,-0.34683460789334974,-0.8566759444510201,0.16300672866432064,3.984805067314191,-1.3903961053152083,0.1748263555744835,0.6198817995080881,-5.080748721765271,no
TAF11,-0.34738805094702974,-1.0911604550598448,0.39638435316578546,3.3815754893997627,-0.9546099921361865,0.34754443395721635,0.760291374756507,-5.477585971840979,no
RAB43,-0.3476042349593058,-1.3533485494506383,0.6581400795320267,1.8661764630428581,-0.7063966541761871,0.4854922672444021,0.8341121408435465,-5.350914606194027,no
ARHGEF40,-0.3476547066405815,-1.0429474007549893,0.34763798747382624,3.2983302810027353,-1.0219546124713064,0.3151231960834072,0.7358464743564815,-5.333538635494632,no
MRPS5,-0.34765967458841107,-0.7294853411225553,0.034165991945733165,5.39981833886447,-1.8609742399140576,0.07275662487491116,0.4787787186978915,-4.553906578981192,no
TMEM229B,-0.34768677423208283,-1.1877087760356266,0.49233522757146087,2.8982744873387456,-0.8459577438592794,0.4043967684730877,0.79329406751967535,-5.433660564797588,no
IL21R,-0.34804193727327526,-1.3400400803461654,0.6439562057996148,2.1862698283938196,-0.7170870489690241,0.47896880642653816,0.8288719726480626,-5.371607185324049,no
CACNA2D2,-0.3480693359188709,-1.5041045786911569,0.8079659068534151,1.2233723001512196,-0.6153835053426144,0.5430274826921918,0.8585152991611231,-5.2552376000493854,no
ZNF527,-0.3481628416385387,-1.2745976337279867,0.5782719504509093,1.5950710571682802,-0.7681016933737752,0.4485414375399447,0.813257882353816,-5.270968779795053,no
GK5,-0.3486092986960929,-1.0224299204410348,0.3252113230488488,3.4864120415530016,-1.0574158839418595,0.2989175575254642,0.7213299691758617,-5.374625213412519,no
PSMA5,-0.34878660410233486,-0.8380249523474095,0.1404517441427398,4.9972018178514235,-1.4571037171537926,0.15566718805502883,0.6066552550491531,-5.124647606515365,no
PIGU,-0.3488032929782777,-1.2933160630812566,0.5957094771247011,1.5000439709879638,-0.7547861162868514,0.4563703657356557,0.8165885860788518,-5.279562011046065,no
PRRC1,-0.3488511603293025,-0.7512082144141898,0.053505893755584844,4.568873662533993,-1.7720652650636208,0.08672941765904213,0.5103133937475962,-4.620241841784148,no
PPTC7,-0.3488952519628592,-0.8708877903334912,0.17309728640777278,4.3742852461767034,-1.366098218669222,0.1822485447786215,0.6266061835920246,-5.143621388919642,no
ENSG00000268027,-0.34902588177947824,-1.151077408408271,0.4530256448493146,2.3913085013062996,-0.8894192482773802,0.3809846889587385,0.7824584542518149,-5.360798512355791,no
RETSAT,-0.34911847083012937,-1.1344846722985267,0.43624773063826794,1.8412485213927383,-0.9085561660586531,0.37095890177569346,0.7770266295452903,-5.248022981163817,no
SRSF6P2,-0.3491471816605586,-1.5499363678682334,0.8516420045471164,1.0163611189124688,-0.5942824886123453,0.5568607412094018,0.8610297730148391,-5.294823208103223,no
KMT5A,-0.34916116743674364,-0.7661437140262691,0.06782137915278186,4.560982017500184,-1.711430314493212,0.09751447324712728,0.5223930458088227,-4.71669808663522,no
RNF220,-0.3491921337563646,-0.8324780668919406,0.1340937993792114,4.69428009600072,-1.4767652289025104,0.1503513648568316,0.5990249148924263,-5.0637597342570455,no
